question,answers
what other measures can a farmer use to control root rot.,Use of fungicides
does harvesting maize early before its dried causes mycotoxin contamination?,"Maize that is harvested before it is fully dried is at a higher risk of mycotoxin contamination, which can pose health risks to both humans and animals if consumed."
which maize variety was developed by the International Maize and Wheat Improvement Center (CIMMYT).,CML444
why is cassava versatile?,"Cassava can be processed into a variety of products, such as flour, starch, and tapioca pearls. These products can be used in a range of dishes, including bread, cakes, noodles, and dumplings."
what is soil fertility,Soil fertility is the ability of soil to sustain plant growth and optimize crop yield
"the product of consistent modification by scientists are called?
",GMOs 
why should the ridges be labelled?, to ensure uniform planting depth and spacing
what causes cassava root rot., fungal and bacterial pathogens
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
how doses cover crops reduce soil loss?,"by improving soil structure and increasing infiltration, protecting the soil surface, scattering raindrop energy and reducing the velocity of the movement of water over the soil surface"
how does climate change affects agriculture.,"through changes in average temperatures, rainfall, and weather extremes (like storms and heat waves); changes in pests and diseases; changes in atmospheric carbon dioxide and ground-level ozone concentrations; changes in the nutritional quality of some foods; and changes in sea level"
How can a farmer control bean weevil in the store?,"Cleaning and hygiene: Before storing beans, ensure that the storage area is clean and free from debris and residues that may harbor pests. Thoroughly clean the storage containers or structures to remove any existing infestations.

Proper storage containers: Use airtight containers, such as metal or plastic bins with tight-fitting lids, to store beans. This helps prevent weevils from entering and infesting the beans. Avoid using jute bags or other porous materials that can allow pest entry.

Temperature control: Weevils thrive in warm temperatures. Keeping the storage area cool can help deter their growth and reproduction. Maintain a temperature below 15 degrees Celsius if possible.

Moisture control: Weevils require moisture to survive and reproduce. Ensure that the beans are properly dried before storage to reduce moisture content. Use moisture-absorbing substances like silica gel packets or dry ash in the storage containers to keep the environment dry.

Natural repellents: Some natural substances act as repellents to weevils. These include dried neem leaves, mint leaves, or tobacco leaves. Place small sachets of these repellents in the storage containers to deter weevils.

Freezing or heating: If feasible, beans can be subjected to extreme temperatures to eliminate weevils. Freezing the beans for a few days at temperatures below -18 degrees Celsius or heating them at temperatures above 60 degrees Celsius can kill the pests.

Regular monitoring: Regularly inspect the stored beans for signs of weevil infestation, such as holes in the beans or presence of adult weevils. If infestation is detected, separate and discard the infested beans to prevent further spread."
How do you call the young ones of a horse,foal
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
Where else can we farmers get the beans seeds with iron content?,Check with research institutions: Agricultural research institutions often conduct research on crop varieties with higher iron content. You can check with local research institutions or universities to see if they have developed bean varieties with higher iron content and if those seeds are available for purchase.
"What size should cassava stem be for planting?

",between 25 to 30 centimeters in length
what is the ridges or furrows dimensions to be created.,30 cm high and 60 cm wide
which other variety is developed by NARO and has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease,NAROCASS 2
what are Fertilizers?,are substances that are added to soil to improve plant growth and increase crop yields
what is animal welfare?,refers to the conditions in which an animal is raised
"During the mid to late vegetative stage, cassava requires less rainfall as it begins to store food in its roots. what is it?",about 750 to 1000 mm of rainfall.
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
what are Glueboards  used for?,for monitoring cockroaches and to catch rodents.
How long should artificial fertilizers be used in a certain piece of land in order to avoid degradation? ,"To prevent soil degradation, it is also recommended that farmers periodically test their soil for nutrient levels and pH and adjust their fertilizer application rates based on the test results. This can help ensure that fertilizers are being applied in appropriate amounts and prevent the accumulation of excess nutrients in the soil, which can lead to environmental pollution.A year after a year, Fertilization depends on crop and organic matter content of the soil. it would be advisable to always apply fertilizers after soil analysis. however, inherently, our soils (especially in buganda) are poor. by default, the lack n, p and k. soil erosion is also causing lot of depletion. it is advisable that the inorganic fertilizers be applies every cropping season. remember fertilizers will not work well if the soil does not have organic matter"
which maize varieties are commonly available in East Africa.,"longe 1, longe 2H, longe 4, longe 5H, longe 2H."
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
what is the estimated number of eggs a cassava green mite can lay?,50 eggs in her lifetime
how can farmers use test kit to test soil PH.,"To use the kit, farmers can collect a soil sample from their field or garden, mix it with distilled water, and then add a few drops of the pH indicator solution. The color of the solution will then be compared to the chart, which indicates the pH level of the soil. A pH level of 7 is considered neutral, while levels below 7 indicate acidic soil and levels above 7 indicate alkaline soil.
"
what is strip cropping.,Planting different crops in alternating strips across the slope helps to reduce erosion by breaking up the flow of water. The alternating strips of different crops create barriers that trap sediment and prevent it from being washed away.
Name the pest control management practices.," Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used"
can waterlogging cause yellowing in beans plants?,"Beans do not tolerate waterlogging, and excess moisture can cause their roots to suffocate, leading to yellowing of the leaves."
what is the WHO death estimates from pesticides poisonings.," 220,000 deaths"
what is the required humidity for cassava growth.,ranging from 70% to 90%
name one difference between  fresh and dry maize in  terms of the nutrients value.,"Fresh maize is higher in vitamins and minerals, such as vitamin C, folate, and potassium, compared to dry maize. However, dry maize is a good source of dietary fiber, protein, and complex carbohydrates."
Farmers are focused on conserving water for several reasons,1) Farmers know water wasted could mean a lack of the resource for future crops. 2) Water is expensive. Water wasted is money lost. 3) Farmers are cultivators. They use precise technology to know exactly how much water a plant needs to grow. Too much could mean poor production. 4) Many farmers rely on Mother Nature for water.
which symptoms are evident of Micronutrient deficiencies,"leaf discoloration, reduced growth, and poor reproductive performance"
Name regions in which Pastoralism is practised.,"arid and semi-arid regions of Sahara, Central Asia and some parts of India."
what support structures do climbing beans require for their growth through to harvesting., poles or trellises
name the steps the farmer can use to control pest after detection the garden.,"Identify the disease: Try to identify the specific disease affecting the cassava plants. Observe the symptoms, such as leaf discoloration, wilting, lesions, or any other unusual signs. You can consult local agricultural extension services, agricultural experts, or plant pathologists to help identify the disease accurately.

Isolate and remove infected plants: If the disease is confirmed, promptly isolate and remove the infected plants from the field. This prevents further spread of the disease to healthy plants. Properly dispose of the infected plants by burning, burying, or removing them from the field.

Sanitize tools and equipment: Clean and sanitize any tools, equipment, or machinery that have come into contact with the infected plants. This helps prevent the disease from spreading to other fields or areas.

Implement cultural practices: Adopt cultural practices that can help manage or control the disease. These may include adjusting planting density, optimizing nutrition and irrigation practices, and practicing crop rotation. Some diseases may be controlled by removing alternate host plants or weeds that can serve as reservoirs for the pathogens.

Seek expert advice: Consult local agricultural extension services, agricultural experts, or plant pathologists for specific recommendations on disease management strategies. They can provide guidance on appropriate fungicides or other control measures if necessary.

Monitor and scout regularly: Continuously monitor the field to track the spread and severity of the disease. Regular scouting helps identify any new infections and allows for timely intervention."
name the first step in crop cultivation,Land preparation
how does  Fertilisers  reduce terrestrial biodiversity .,"by increasing competition for light, favouring those species that are able to benefit from the added nutrients. "
how can farmers control bacterial blight.," it's important to use disease-free planting material, practice good sanitation by regularly removing and destroying infected plant material, control insect vectors, and avoid working in cassava fields when plants are wet"
What are the problems facing farming organization in uganda?,"Limited access to finance: Many farming organizations in Uganda lack access to finance, which makes it difficult for them to invest in modern farming technologies, hire skilled workers, and expand their operations.

Limited access to markets: Many small-scale farmers in Uganda struggle to access markets to sell their products, which can result in low prices and limited income.

Climate change: Uganda is vulnerable to climate change, which can have a negative impact on crop yields and overall agricultural productivity.

Pest and disease outbreaks: Uganda has experienced several pest and disease outbreaks in recent years, such as the Fall Armyworm and Banana Bacterial Wilt, which can significantly reduce crop yields and income.

Limited access to extension services: Many farmers in Uganda lack access to extension services and technical assistance, which can limit their ability to adopt modern farming technologies and improve their farming practices.

Land tenure insecurity: Land tenure insecurity is a common challenge in Uganda, particularly for small-scale farmers, which can limit their ability to invest in their farms and access credit.

Poor infrastructure: Poor infrastructure, including inadequate roads, storage facilities, and irrigation systems, can limit the ability of farming organizations in Uganda to transport their products, store them properly, and irrigate their crops during dry spells."
why do we say cover crops are nurse crops?,"they increase the survival of the main crop being harvested, and are often grown over winter"
what is micropropagation.,"The practice of rapidly multiplying stock plant material to produce a large number
of progeny plants using plant tissue culture techniques"
What type of soil is best suited for growing beans?,Beans require well-draining soils with a pH level between 6.0 and 7.5
what is a major source of greenhouse gas emissions,Animal husbandry
How is cassava planted using single stem method.," In this method, cassava stems are planted directly into the soil at a spacing of 1-1.5 meters between rows and 0.75-1 meter between plants"
name any one example of desiccants.,silica gel
Does organic farming contribute to less pollution?,Yes
which human activities causes drought.," over-extraction of groundwater, water pollution, and inefficient water use can exacerbate drought conditions and reduce the availability of water for agriculture, industry, and domestic use"
what are the symptoms of cassava mosaic disease.,"ellowing and mosaic patterns on the leaves, stunted growth, and reduced tuber yield"
"which fertilizer is often used as a basal or pre-planting fertilizer, and it can also be used as a top dressing fertilizer during the growing season.",NPK 
What is the effect of Cassava Mosaic Disease (CMD) in severe condition.,yield losses of up to 100%
define field capacity?,"This refers to the maximum amount of water the soil can hold after it has been thoroughly wetted and excess water has drained away. At field capacity, there is enough water in the soil for plants to use, but excess water has drained away, leaving air spaces in the soil."
what is common cause of fatal agricultural injuries in developed countries., tractor rollovers
why is DAP used in planting maize.,"is a phosphorus-rich fertilizer that also contains nitrogen. It is often used as a basal or pre-planting fertilizer for maize, as it promotes root development and helps the plants establish quickly. However, it may not provide adequate amounts of potassium and other micronutrients that maize needs for optimal growth."
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
which bean variety is tolerance to heavy rains.,"Robusta: Robusta beans are known for their good resistance to waterlogging and heavy rains. They have a relatively quick growth cycle and are suitable for areas with high rainfall.

Akunduny: Akunduny is a climbing bean variety that performs well in areas with heavy rainfall. It has good disease resistance and can withstand waterlogged conditions.

Katumani: Katumani is a bean variety that is popular in regions with heavy rainfall. It has good water tolerance and can withstand periods of excessive moisture."
why do farmers prefer cassava stem to cassava seeds.,Reduced risk of disease transmission
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
what is strip cropping.,Planting different crops in alternating strips across the slope helps to reduce erosion by breaking up the flow of water. The alternating strips of different crops create barriers that trap sediment and prevent it from being washed away.
when are the African armyworms noticed by farmers., until the caterpillars are ten days old and start exhibiting the gregaria phase.
Name areas where substance farming is practicied.,Monsoon Asia and South-East Asia
what is GMO in full.,Genetically modified organisms
which maize varieties are commonly available in East Africa.,"longe 1, longe 2H, longe 4, longe 5H, longe 2H."
how do i check for corn maturity?,"test the kernel moisture content using a moisture meter. Additionally, the husks on the ears should have turned brown and dry"
what kind of practices are used for crop protection?," use of pesticides, fungicides, and other chemicals, as well as cultural practices"
what is mound planting.,Mound planting involves creating mounds or hills by heaping soil around the base of the cassava stem
how can a farmer identify root rot in cassava plant.,"yellowing of leaves, wilting, and stunting of plant growth"
do plants have naturally occurring B12?,no 
what is the taste of fresh maize.,"Fresh maize has a sweet, juicy flavor and a soft, tender texture,"
how can nutrient management help in improving red soil.,"Conduct a soil test to determine the nutrient deficiencies in the soil. Based on the test results, apply the necessary fertilizers to provide adequate levels of essential nutrients, such as nitrogen, phosphorus, and potassium. This helps to optimize plant growth and yield."
what is band placement of fertilizers,where the fertilizers are placed in rows near the plant roots
name two types of beans found in the garden,bush beans and pole beans
name the disease that can cause the pods to become waterlogged and develop rot,pod rot diseases
why should farmers use farmyard manure in their garden.,helps improve the structure and texture of the soil. It contains a range of nutrients and microorganisms that can break down and decompose to provide nutrients and improve soil health
how do we call the cover crops that increases soil fertility.,green manure
How can i improve clay soil for maize production,"Add organic matter: Incorporating organic matter, such as compost or well-rotted manure, into clay soil can improve soil structure, increase soil fertility, and enhance water-holding capacity. It is best to apply organic matter in the fall or early spring and mix it into the soil to a depth of 6-8 inches."
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
how is biological pest control done?,involves the introduction of natural enemies of the pest that are bred in the laboratory and released into the environment.
what other recommendation can you give for the best time to apply insecticides or spray your garden.,"In general, it is best to consult with a local agricultural extension agent or agronomist for advice on the specific pests and diseases that affect beans in your area, and the best timing and methods for their control."
why is mulching important.,"Mulching helps to suppress weed growth, retain soil moisture, and improve soil fertility"
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",potassium 
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
what are natural fertilizers made of ?,"natural materials such as compost, manure, and bone meal"
which pest feeds on the underside of cassava leaves and causes yellowing and curling of the leaves,Cassava whitefly
what does a hand represents in a horse?, 4 inches
which environmental condition does the Cassava green mite have.,hot and dry conditions
what is the approximate Global agricultural production,32 million tonnes of natural fibres
name examples of phosphorous fertilizers,triple superphosphate and diammonium phosphate.
what are Soil microarthropods.,"These are small, soil-dwelling organisms such as mites and springtails that play important roles in soil nutrient cycling and decomposition."
whats the botanical name of african armyworm,Spodoptera exempta
How long does beans take  from planting to harvesting season?,75 days to 90 depending on the variety
which key districts produces maize in uganda?,"Masindi, Kapchorwa, Kasese, Jinja, Kabarole and Mbale"
which caterpillar pests  can cause significant damage to cassava crops.,Armyworms 
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
which other DK varieies are available in amolatar?,"DK 9093, DK 8073, and DK 8031"
what is a major source of greenhouse gas emissions,Animal husbandry
name the first step in crop cultivation,Land preparation
which preservatives causes hormonal disruption., parabens and BHA/BHT
how can farmers use test kit to test soil PH.,"To use the kit, farmers can collect a soil sample from their field or garden, mix it with distilled water, and then add a few drops of the pH indicator solution. The color of the solution will then be compared to the chart, which indicates the pH level of the soil. A pH level of 7 is considered neutral, while levels below 7 indicate acidic soil and levels above 7 indicate alkaline soil.
"
what interval should CAN be used.,intervals of between 6 weeks
"apart from maintaining soil structure, what are some of use of soil air."," soil air plays a key role in the cycling of nutrients, such as nitrogen, carbon, and sulfur, which are essential for plant growth. Soil air also supports the activities of soil microorganisms, which are important for breaking down organic matter and releasing nutrients into the soil"
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
what is fumigation.,"is the treatment of a structure to kill pests such as wood-boring beetles by sealing it or surrounding it with an airtight cover such as a tent, and fogging with liquid insecticide for an extended period, typically of 24�72 hours"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
name ways in which dry maize can  be consumped.,"Dry maize is often ground into flour or meal, which can be used to make various dishes such as tortillas, porridge, or bread."
which other way can farmers control soil borne diseases.," Incorporate organic matter such as compost and manure into the soil to improve soil structure and reduce soilborne disease buildup.
"
How can agronomist overcome problems due to persistent use of fertilizers? ,"Regular soil testing helps determine the nutrient levels in the soil and allows for tailored fertilizer recommendations. Agronomists can assess the nutrient needs of specific crops and apply fertilizers accordingly, avoiding over-application. This helps maintain nutrient balance and prevents nutrient imbalances or excesses."
which bean variety is tolerance to heavy rains.,"Robusta: Robusta beans are known for their good resistance to waterlogging and heavy rains. They have a relatively quick growth cycle and are suitable for areas with high rainfall.

Akunduny: Akunduny is a climbing bean variety that performs well in areas with heavy rainfall. It has good disease resistance and can withstand waterlogged conditions.

Katumani: Katumani is a bean variety that is popular in regions with heavy rainfall. It has good water tolerance and can withstand periods of excessive moisture."
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions."
Are we losing family farms because corporate farms are taking over American Agriculture?,America�s farms are still family farms
Is sandy soil better than clay soil  when growing beans?, neither soil type is inherently better or worse for growing beans
cam maize grow in clay soil,"es, maize can grow in clay soil. However, clay soil has certain characteristics that can affect maize growth and productivity. Clay soil tends to retain water and drain poorly, which can lead to waterlogged conditions and root suffocation if not properly managed. Additionally, clay soil can be compacted, making it harder for roots to penetrate and access nutrients."
"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
Which method of fertilizer application do we use during weeding beans?,"The type of fertilizer recommended for top-dressing maize depends on the soil nutrient status and the crop's nutrient requirements. However, generally, a nitrogen-rich fertilizer is recommended for top-dressing maize because nitrogen is one of the primary nutrients required for maize growth and development."
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
what is the WHO death estimates from pesticides poisonings.," 220,000 deaths"
what percentage o electricity does fossil fuel accounts for?, 81% of electricity
What characteristics should a good crop store have to prevent pest,"Good ventilation: Proper air circulation is crucial to prevent the buildup of moisture, which can attract pests like molds, mites, and insects. The store should have vents or fans to allow fresh air to enter and stale air to exit.

Dryness: Most pests prefer humid conditions, so a dry store is less attractive to them. The store should be free from leaks, and the walls and floor should be made of materials that do not absorb moisture.

Cleanliness: A clean store reduces the likelihood of pest infestation. Any spilled grain or produce should be promptly cleaned up, and the store should be regularly swept and sanitized.

Pest monitoring: Regular inspection of stored crops is essential to detect any signs of pest infestation early. Traps or baits can be used to monitor and control pests.

Pest control: If pests are detected, appropriate control measures should be taken immediately. This can include the use of insecticides, fumigation, or physical removal of infested crops.

Proper storage containers: Crops should be stored in appropriate containers, such as airtight containers, to prevent pests from entering. The containers should be made of materials that do not release harmful chemicals or odors that can affect the quality of the stored crops.

Proper storage location: The store should be located away from sources of pests, such as animal pens or garbage dumps. Additionally, the store should be located in an area that is accessible for regular monitoring and maintenance."
how long does the adult live.,up to 14 days.
what is Pastoralism.,"involves managing domesticated animals. In nomadic pastoralism, herds of livestock are moved from place to place in search of pasture, fodder, and water"
"To ensure the longevity and effectiveness of pesticides, what guidelines should be followed by farmers.","Keep containers tightly sealed: Properly seal the containers to prevent leakage and evaporation of the pesticide.

Separate from food and feed: Store pesticides away from areas where food, animal feed, or drinking water are stored to prevent contamination.

Follow expiration dates: Pesticides have an expiration date indicated on the label. Use them before the expiration date to ensure their effectiveness.

Handle with care: When handling pesticides, follow the safety instructions on the label, wear appropriate protective gear, and avoid inhaling or contacting the chemicals."
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa"
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what are other reasons  why crops are sprayed,"to prevent rats, mice, and insects from contaminating foods while they are being stored"
how do we prevent foodborne illness?,"cook foods to proper temperatures, use separate cutting boards for uncooked meat and ready?to?eat foods, store leftover food in shallow containers and refrigerate within two hours."
what are Glueboards  used for?,for monitoring cockroaches and to catch rodents.
how did the name armyworm starts.,"The larvae often exhibit marching behavior when traveling to feeding sites,"
how does climate change affects agriculture.,"through changes in average temperatures, rainfall, and weather extremes (like storms and heat waves); changes in pests and diseases; changes in atmospheric carbon dioxide and ground-level ozone concentrations; changes in the nutritional quality of some foods; and changes in sea level"
give examples of cover crops.,"beans, peas, clover)"
how can conservation tillage helps improve soil fertility.,"Reducing the frequency and intensity of tillage can help to preserve soil structure, prevent erosion, and improve nutrient retention."
how can a farmer overcomes physical seed dormancy.,by mechanical scarification
What fungicides can be used to control CBB.,"Copper-based fungicides can be used to control CBB, but they must be applied before the disease becomes severe."
"Any maize markets out there?
",Nakasero Market
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
Which type of fertilizer is good to apply for beans,"Regarding the best fertilizers for beans, it is important to consider the nutrient status of the soil and to follow soil test recommendations"
which region has the adoption of motorized mechanization has stalled over the past decades., Sub-Saharan Africa
"White flies have become resistant to pesticides, what else can farmers do eradicate them?","Integrated pest management (IPM): IPM is a holistic approach to pest management that involves a combination of techniques to control pests, including cultural, biological, and chemical methods. IPM can help to reduce the reliance on pesticides and prevent the development of pesticide resistance."
name plants that uses C3 carbon fixation.,alfalfa and soybeans
give examples of micronutrients.," iron, zinc, and manganese."
how can pest and diseases be managed in maize plants? ,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection"
what is the use  autonomous crop robots.,harvest and seed crops
what is Pastoralism.,"involves managing domesticated animals. In nomadic pastoralism, herds of livestock are moved from place to place in search of pasture, fodder, and water"
How do you call the young ones of a horse,foal
name any one example of compound fertilizers.,10-20-10 or 14-14-14
"If it says locally grown, does that mean it is from my community?","Not necessarily. This may come as a surprise, but if you�re buying or eating locally grown food, it may not be food grown in your community."
How long should maize grains to be boiled for it's effective nutrients in human consumption.,"Maize grains can be boiled until they are tender, which usually takes around 30 to 45 minutes, depending on the variety and maturity of the maize. However, the length of time that maize grains should be boiled for optimal nutrient retention can vary depending on the specific nutrient in question."
define Livestock management practices?," practices involve a range of activities and strategies that are designed to keep animals healthy, productive, and profitable"
what is the most popular crop in midwest?,Soybeans 
what cultural methods are involved when eradicating whiteflies.,"Cultural control methods involve practices such as crop rotation, sanitation, and the use of reflective mulches, which can help to reduce whitefly populations by creating unfavorable conditions for their growth and reproduction."
which maize variety is recommended for second season ,"Longe 5H - this is a medium maturing hybrid that takes approximately 100-110 days to mature. It is tolerant to drought and is suitable for areas with moderate rainfall.

Longe 7H - this is also a medium maturing hybrid that takes approximately 100-110 days to mature. It is suitable for areas with low to moderate rainfall.

DKC 9088 - this is a high-yielding hybrid that takes approximately 110-115 days to mature. It is suitable for areas with good rainfall and good soil fertility.

It is recommended to consult your local agricultural extension officer or seed supplier for advice on the best maize variety to plant in your specific area and conditions."
Farmers always ask what do they do to store beans safely,"Clean the beans: Remove any debris or foreign matter from the beans, such as leaves, stones, or twigs. This can be done by hand or with a sieve.

Dry the beans: Spread the beans out on a clean, dry surface to allow them to dry completely. This will help prevent mold growth and spoilage.

Store in a cool, dry place: Beans should be stored in a cool, dry place with good air circulation, such as a pantry or a cool basement. Avoid storing them in a damp or humid environment, as this can promote mold growth.

Use airtight containers: Store beans in airtight containers such as plastic bags, glass jars or metal containers with tight lids. This will help keep out moisture and pests.

Check regularly: Check the beans regularly for signs of mold, moisture or insect infestation. If any beans appear damaged, remove them immediately to prevent further spoilage."
name the symptoms of cassava whitefly.,"wilting, yellowing of leaves, and stunted growth"
what method is used to overcome embryo dormancy.,stratification
which region has adopted automatic milking system.,Northern Europe
name one crop that belongs to Brassicaceae family,mustards
What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
how can we prevent shriveling and rotting of bean seeds.,"To prevent shriveling and rotting of bean seeds, it is essential to implement proper seed handling and storage practices. This includes using high-quality seeds, ensuring seeds are adequately dried before storage, providing appropriate storage conditions (low humidity, good ventilation), and implementing seed treatments or fungicide applications when necessary. Additionally, practicing crop rotation, maintaining good field hygiene, and avoiding excessive irrigation can help reduce the incidence of seedborne diseases."
what are ponnies?,"Ponies are small breeds of horses that, because of their size, appear much smaller when fully grown than larger breeds of horses"
how are beans planted?,The seeds are planted at a depth of 1-2 inches and spaced about 2-4 inches apart in rows
what is pest control.,"is the regulation or management of a species defined as a pest; such as any animal, plant or fungus that impacts adversely on human activities or environment"
what is a contaminant.,"A plant that is considered undesirable in a seed production field, including off types,
other varieties, other crops, weeds and plants with disease symptoms"
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
what is Food Supply Continuum,The process of getting food from the farm to the table
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity"
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
How is cassava planted using single stem method.," In this method, cassava stems are planted directly into the soil at a spacing of 1-1.5 meters between rows and 0.75-1 meter between plants"
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
how can conservation tillage helps improve soil fertility.,"Reducing the frequency and intensity of tillage can help to preserve soil structure, prevent erosion, and improve nutrient retention."
is TMS 30572 cassava variety popular in nigeria?,2177
why is mulching important.,"Mulching helps to suppress weed growth, retain soil moisture, and improve soil fertility"
what are Calcium-based fertilizers?,"Fertilizers that are high in calcium, such as calcium nitrate or calcium carbonate, can help improve soil structure and water-holding capacity. Calcium helps flocculate clay particles in the soil, creating larger pore spaces and improving drainage."
Name the pest control management practices.," Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used"
"which indicator can be used to check for cassava maturity.
",Time since planting
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
How long should a farmer wait to plant cassava in a field which was affected by cbsd?,"Farmers should wait for at least 6 months to 1 year before planting cassava in a field that was affected by Cassava Brown Streak Disease (CBSD). This allows enough time for the virus to die off or decrease in the soil. During this period, the farmer should practice proper land preparation, including removing all cassava crop debris and weed the field to reduce the build-up of virus inoculum in the soil."
How can a farmer control termites,"One of the best ways to control termites is through good cultural practices. This includes maintaining good soil health and fertility, avoiding over-watering or waterlogging, and keeping crop residues and weeds under control. These practices can help to create a less favorable environment for termites and reduce their populations."
List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
which farming tools can spread bacterial blight when contaminated.,pruning shears or machetes
how do you define organic?,"a labeling term that indicates that the food or other agricultural product has been produced through approved methods that integrate cultural, biological and mechanical practices that foster cycling of resources, promote biological balance and conserve biodiversity"
whats the botanical name of african armyworm,Spodoptera exempta
can clean planting materials be used to control root rot?,Cassava cuttings should be obtained from healthy plants that have been certified as free from root rot.
why must farmers  balance the benefits of tillage against its potential negative impacts,excessive tillage can lead to soil erosion and nutrient loss
name two types of African armyworm outbreak.,primary and secondary
what factors can lead to low maize harvest.,"Weather conditions: Unfavorable weather such as drought, excessive rainfall, hailstorms, or extreme temperatures can negatively impact maize growth and reduce yields.

Pest and disease outbreaks: Outbreaks of pests and diseases, such as fall armyworm, maize stalk borers, or maize rust, can significantly damage maize crops and reduce yields.

Poor soil fertility: Inadequate soil nutrients or imbalanced nutrient levels can affect maize growth and productivity. Lack of proper soil management practices, such as inadequate fertilization or soil erosion, can contribute to low yields.

Lack of access to inputs: Limited availability or affordability of quality seeds, fertilizers, pesticides, and other agricultural inputs can hinder maize production and result in lower yields.

Farm management practices: Inefficient farming practices, improper crop rotation, inadequate weed control, or suboptimal planting and harvesting techniques can impact maize yields.

Market conditions: Maize prices, market demand, and access to markets can also influence farmers' decisions and investment in maize production. Unfavorable market conditions may discourage farmers from growing maize or affect their profitability."
how does S. exempta reduce the risk of SpexNPV,via density-dependent prophylaxis
what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows
what percentage does the production of animal food produce to Green House Emission.,57%
how can I apply fertilizers.,"broadcasting, banding, and side-dressing"
