question,answers,topic
how is glue made from cassava?,"To make cassava glue, the cassava root is first peeled, washed, and grated into a pulp. The pulp is then soaked in water to release the starch, which is then separated from the fibrous material. The starch is then heated and mixed with water to create a thick, sticky paste.",irrigation
which natural water can fish grow in?,"ponds, lakes, rivers, and streams",irrigation
Explain Smart Irrigation.,"Utilizes technology to deliver water efficiently based on plant needs, conserving resources.",irrigation
how are mosquitoes controlled biologically.,"by putting Bt Bacillus thuringiensis ssp. israelensis, a bacterium that infects and kills mosquito larvae, in local water sources.",irrigation
Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world",irrigation
name the land use changes that causes drought.,"urbanization, agricultural expansion, and deforestation can alter the water cycle, leading to changes in precipitation patterns and soil moisture levels.",irrigation
"How much water do sapota trees need, and how often should I irrigate?","Sapota trees require regular watering, especially during the dry season and fruit development stage. Young trees need more frequent irrigation, while mature trees can tolerate drought conditions. Irrigation frequency and amount depend on soil moisture levels and weather conditions.",irrigation
What are the potential environmental impacts of chemical spraying?,"Chemical spraying can cause environmental pollution, affecting air, water, soil, and wildlife if not properly managed.",irrigation
"How much water do apple trees need, and how often should I irrigate?","Apple trees require regular watering, especially during dry periods and fruit development stages. Deep, infrequent watering is preferred to encourage deep root growth and prevent water stress. Irrigation frequency and amount depend on soil moisture levels, weather conditions, and tree age.",irrigation
what does Eutrophication leads to?,"algal blooms and anoxia, leads to fish kills, loss of biodiversity, and renders water unfit for drinking and other industrial uses",irrigation
What is the recommended watering schedule and amount for citrus trees?,"Citrus trees benefit from regular watering, particularly during dry periods and fruit development. It's best to water deeply and infrequently to encourage deep root growth. Adjust the irrigation frequency based on soil moisture and weather conditions.",irrigation
"How often should I water sapota trees, and what factors should I consider for irrigation scheduling?","Sapota trees require consistent watering, particularly during the dry season and fruiting period. While young trees demand more frequent irrigation to support root growth, mature trees can endure periods of water scarcity. Adjusting irrigation frequency and volume based on soil moisture levels, weather patterns, and tree developmental stages is crucial for sustaining healthy sapota trees.",irrigation
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs",irrigation
Detail the sustainable water management practices promoted by the Pradhanmantri Krishi Sinchayee Yojana implemented in 2016.,"This policy focuses on enhancing water use efficiency in agriculture, ensuring sustainable water management practices for farmers.",irrigation
how can you control whiteflies,Whiteflies can be controlled using insecticides or by using sticky traps that attract and trap the insects.,pests
why should farmers avoid areas with recent fertilizer or pesticide applications when collecting soil sample.,"These substances can alter the nutrient levels and pH of the soil, affecting the accuracy of the soil analysis.",pests
when do the eggs of armyworms turn black., prior to hatching,pests
what is being used to monitor to pest populations in the canopy.,Pheromone traps,pests
What pesticide can i apply when beans flower.,"When beans are flowering, it is important to be careful when applying pesticides as it can harm pollinators such as bees that help in the fertilization process. If you need to apply a pesticide during this time, it is recommended to use an insecticide that is safe for bees, such as those based on Bacillus thuringiensis (Bt), spinosad, or neem oil.",pests
What is the recommended approach for controlling armyworms in maize?,"The recommended approach for controlling armyworms in maize is to primarily use cultural methods, resorting to spraying only when necessary based on pest population levels.",pests
name some control measures for cutworms.," use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil.",pests
Do mango trees need cross-pollination?,"Most mango varieties are self-pollinating, but cross-pollination by insects can increase fruit set and yield. Introducing pollinator-attracting plants can aid in this process.",pests
"White flies have become resistant to pesticides, what else can farmers do eradicate them?","Integrated pest management (IPM): IPM is a holistic approach to pest management that involves a combination of techniques to control pests, including cultural, biological, and chemical methods. IPM can help to reduce the reliance on pesticides and prevent the development of pesticide resistance.",pests
what is biological pest control., is a method of controlling pests such as insects and mites by using other organisms,pests
can i use insecticides to manage cassava whitefly infestation?,but it is important to use the appropriate type and dosage to avoid damaging the cassava plants and the environment,pests
how is biological pest control done?,involves the introduction of natural enemies of the pest that are bred in the laboratory and released into the environment.,pests
what are some of the ways of managing armyworms.,"use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil.",pests
What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C,pests
What is the method of spreading Sooty mould within mango orchards?,"Sooty mould spreads within mango orchards by thriving on the leaf surface, fueled by the sugary secretions of plant hoppers such as jassids, aphids, and scale insects.",pests
Do mango trees require cross-pollination?,"While most mango varieties are self-pollinating, cross-pollination by insects can enhance fruit set and yield. Introducing plants that attract pollinators can aid in this process.",pests
which pest feeds on the sap of the cassava plant.,Cassava mealybug:,pests
What are the example of bitting and chewing pest,"Caterpillars: Caterpillars are the larvae of butterflies and moths. They have strong mandibles and feed on leaves, causing defoliation. Examples include armyworms, cutworms, and corn earworms.

Beetles: Beetles have biting mouthparts and can cause damage by feeding on leaves, stems, and fruits. Examples include Colorado potato beetle, cucumber beetle, and flea beetles.",pests
how can you control mealybug biologically?,introduction of natural enemies of the mealybug,pests
"For example, if the beans are infested with bean weevils or bean fly, when is it recommended to spray?","it is recommended to apply insecticides at the early stages of plant growth, when the pests are most active",pests
what is the size of the armyworms laid eggs.,Their eggs are relatively small at 0.5 mm in diameter,pests
whats the botanical name of african armyworm,Spodoptera exempta,pests
what is a cassava whitefly," is a tiny, sap-sucking insect that feeds on the cassava plant, particularly on the underside of the leaves.",pests
which family does the African armyworm belongs to.,Noctuidae,pests
What is the primary mode of transmission for Infectious chlorosis in bananas?,"The primary mode of transmission for Infectious chlorosis in bananas is through infected suckers and aphid vectors, particularly Aphis gossypii.",pests
"which control method employs the use of beneficial insects like ladybugs or lacewings, or the release of whitefly-specific parasites or predators.",Biological contro,pests
How does Sooty mould spread in mango orchards?,"Sooty mould spreads within mango orchards by growing on the leaf surface, fueled by the sugary secretions of plant hoppers such as jassids, aphids, and scale insects.",pests
"What are the typical pests affecting citrus trees, and how can their populations be controlled?","Common pests affecting citrus trees include citrus psyllids, citrus leaf miners, and citrus root weevils. Population control can be achieved through cultural methods, biological agents, and chemical treatments.",pests
What are the signs of Sooty mould on mango trees?,"Sooty mould in mango trees manifests as dark, superficial mycelium on the leaf surface, resulting in the formation of black encrustations. This growth is fueled by sugary secretions from plant hoppers such as jassids, aphids, and scale insects.",pests
what are the different methods of pest management?,"biological control, cultural control, and chemical contro",pests
how did the name armyworm starts.,"The larvae often exhibit marching behavior when traveling to feeding sites,",pests
Do sapota trees require cross-pollination for fruit production?,"Most sapota varieties are self-pollinating, but cross-pollination by insects can increase fruit set and yield. However, in most cases, sapota trees can produce fruit without the need for cross-pollination.",pests
name examples of organophosphate insecticides that are commonly used for controlling bean pests.,chlorpyrifos and malathion.,pests
when are the African armyworms noticed by farmers., until the caterpillars are ten days old and start exhibiting the gregaria phase.,pests
what is the use of living organism in the soil.,"Soil organisms, such as earthworms, termites, and nematodes, play a vital role in improving the soil structure. They help to break down organic matter, loosen compacted soil, and improve soil porosity, allowing air, water, and nutrients to move more freely through the soil.",pests
What approach can farmers take to pest control?,Farmers can control pests by spraying some and using resistant varieties when available.,pests
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die.",pests
how many eggs does a female African armyworm lays.,"about 1,000 eggs in her lifetime",pests
"which insecticides are effective against a wide range of insect pests, including aphids, thrips, and whiteflies.",spinosad and neem oil,pests
"which insecticide is used to control various pests, including bean fly and aphids.",Imidacloprid,pests
name two types of African armyworm outbreak.,primary and secondary,pests
which species of armyworms are the most common.,fall armyworm ,pests
what is Integrated pest management: Integrated pest management (IPM)?,"Integrated pest management (IPM) is an approach that combines several control methods to effectively manage pest populations while minimizing negative impacts on the environment. By using a combination of cultural practices, biological control methods, physical barriers, and targeted use of pesticides, farmers can effectively control termite populations while minimizing negative impacts on the environment.",pests
How does Canker survive and spread within citrus orchards?,"Canker in citrus orchards survives and spreads through various means. The pathogen Xanthomonas campestris pv citri survives in infected leaves for up to 6 months and spreads through wind and rain splashes. Entry into the plant is facilitated by injuries caused by leaf miners, allowing the pathogen to infect citrus trees and cause characteristic symptoms of Canker.",pests
name any one example of forest pest., bark beetles,pests
What are the symptoms of common scab in potato tubers?,"Symptoms include corkiness of the tuber periderm, russette appearance 1/4 inch into the tuber surface, slight pitting on the infected tuber, and the appearance of light brown to dark brown lesions. Affected tissue may attract insects.",pests
How can i control pests locally in stored beans,"Proper cleaning and storage: Thoroughly clean the storage containers or structures before storing beans to remove any existing infestations. Use airtight containers with tight-fitting lids to prevent pest entry.

Physical methods: Handpicking and manually removing pests from the beans can be effective, especially if the infestation is limited. Use a sieve or mesh screen to sift the beans and separate any pests present.
",pests
how do farmers control insects?,prevent insect damage by putting up insect traps or by bringing in beneficial insects that feed on the harmful ones that are causing a problem.,pests
how else can you achieve pest control.,culling,pests
why not fully dried maize susceptibility to mold and insect damage.,the moisture content is higher,pests
what is the WHO death estimates from pesticides poisonings.," 220,000 deaths",pests
How can mango pests be effectively controlled?,"Mango pests such as mango hoppers and fruit flies can be effectively controlled through integrated pest management (IPM) practices, which include cultural, biological, and chemical methods.",pests
what is fumigation.,"is the treatment of a structure to kill pests such as wood-boring beetles by sealing it or surrounding it with an airtight cover such as a tent, and fogging with liquid insecticide for an extended period, typically of 24�72 hours",pests
"Which pests commonly attack citrus trees, and what methods can be used to control them?","Common pests that attack citrus trees include citrus psyllids, citrus leaf miners, and citrus root weevils. Control methods include cultural practices, biological control agents, and chemical pesticides.",pests
"What are some common pests that infest citrus trees, and how can they be managed?","Common pests infesting citrus trees include citrus psyllids, citrus leaf miners, and citrus root weevils. They can be managed through cultural practices, biological control, and chemical pesticides.",pests
what are some of the signs of cutworms.,damaged stems and cut plants,pests
which other regions in Uganda grow apples?,"Bugisu, Bukedi and
Sebei sub regions in areas around Mt. Elgon",pests
Which chemical is best for controlling insects which destroys beans leave.,"There are several chemicals that can be effective for controlling insects that damage bean leaves. The choice of chemical will depend on the specific pest species that are causing the damage. Here are some commonly used insecticides for controlling insect pests in beans:

Pyrethroids: These are synthetic insecticides that are effective against a wide range of insect pests, including aphids, thrips, and bean fly. Examples of pyrethroids that are commonly used for controlling bean pests include cypermethrin and deltamethrin.",pests
Is there a specific pesticide that targets only rodents?,"No, there is no selective pesticide designed specifically for rodents.",pests
what is the botanical name for cassava mealybug,Phenacoccus manihoti,pests
which natural predators are used to control armyworms.,birds and parasitic wasps,pests
which pest feeds on the underside of cassava leaves and causes yellowing and curling of the leaves,Cassava whitefly,pests
how many eggs does the female armyworm lays per night.,100�400,pests
which insecticides are effective against caterpillars,Bt-based insecticides,pests
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Cassava beetle,pests
"Are tomato plants self-pollinating, or do they require pollinators?","Tomato plants are primarily self-pollinating, as their flowers contain both male and female reproductive organs. However, some varieties may benefit from wind or insect pollination to improve fruit set and yield. To encourage pollination, gently shake tomato plants to release pollen, or place vibrating devices near the plants to simulate bee activity. Providing a diverse garden habitat with flowering plants can also attract pollinators to the area.",pests
How has farming changed in the United States?,"The growth of farming brought many laborsaving devices to 19th- and early 20th-century farm life, including reaping and threshing machines, which replaced work done by hand. Today, with modern methods of agriculture that include complex machinery, scientific breeding, and chemical pesticides, farms require far fewer workers.",pests
which sugary substance is secreted by cassava  whitefly that can promote the growth of sooty mold and attract other insects to the plant.,honeydew,pests
Farmers always ask what do they do to store beans safely,"Clean the beans: Remove any debris or foreign matter from the beans, such as leaves, stones, or twigs. This can be done by hand or with a sieve.

Dry the beans: Spread the beans out on a clean, dry surface to allow them to dry completely. This will help prevent mold growth and spoilage.

Store in a cool, dry place: Beans should be stored in a cool, dry place with good air circulation, such as a pantry or a cool basement. Avoid storing them in a damp or humid environment, as this can promote mold growth.

Use airtight containers: Store beans in airtight containers such as plastic bags, glass jars or metal containers with tight lids. This will help keep out moisture and pests.

Check regularly: Check the beans regularly for signs of mold, moisture or insect infestation. If any beans appear damaged, remove them immediately to prevent further spoilage.",pests
How does Anthracnose spread in bananas?,Anthracnose in bananas spreads through air-borne conidia and numerous insects that frequently visit banana flowers.,pests
How can Sooty mould on Sapota leaves be managed effectively?,"Sooty mould on Sapota leaves can be managed effectively by spraying a 5% starch solution to remove the fungal growth. Additionally, controlling insects by spraying systemic insecticides can help prevent further infestation.",pests
why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs",pests
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, and South Africa",pests
How does Anthracnose spread in bananas?,Anthracnose spreads through air-borne conidia and numerous insects that frequently visit banana flowers.,pests
what other methods can be used to control apple tree pests?,"using pheromone traps, applying insecticides, or using natural predators such as ladybugs",pests
where do armyworms lay their eggs., clusters on the lower side of leaves,pests
"what is cassava mealybug
",is a small sap-sucking insect that feeds on the cassava plant,pests
how does neem oil works as pesticide.," It works by disrupting the feeding and reproductive systems of insect pests. Neem oil is effective against a range of pests that attack bean leaves, including aphids, bean beetles, and whiteflies.",pests
Do guava trees require cross-pollination for fruit set?,"Most guava varieties are self-pollinating, meaning they can produce fruit without requiring pollen from another tree. However, cross-pollination by insects can increase fruit set and yield. Introducing pollinator-attracting plants nearby can enhance pollination and fruit production.",pests
When was the fall armyworm first detected in Uganda?,2016,pests
How can a farmer control bean weevil in the store?,"Cleaning and hygiene: Before storing beans, ensure that the storage area is clean and free from debris and residues that may harbor pests. Thoroughly clean the storage containers or structures to remove any existing infestations.

Proper storage containers: Use airtight containers, such as metal or plastic bins with tight-fitting lids, to store beans. This helps prevent weevils from entering and infesting the beans. Avoid using jute bags or other porous materials that can allow pest entry.

Temperature control: Weevils thrive in warm temperatures. Keeping the storage area cool can help deter their growth and reproduction. Maintain a temperature below 15 degrees Celsius if possible.

Moisture control: Weevils require moisture to survive and reproduce. Ensure that the beans are properly dried before storage to reduce moisture content. Use moisture-absorbing substances like silica gel packets or dry ash in the storage containers to keep the environment dry.

Natural repellents: Some natural substances act as repellents to weevils. These include dried neem leaves, mint leaves, or tobacco leaves. Place small sachets of these repellents in the storage containers to deter weevils.

Freezing or heating: If feasible, beans can be subjected to extreme temperatures to eliminate weevils. Freezing the beans for a few days at temperatures below -18 degrees Celsius or heating them at temperatures above 60 degrees Celsius can kill the pests.

Regular monitoring: Regularly inspect the stored beans for signs of weevil infestation, such as holes in the beans or presence of adult weevils. If infestation is detected, separate and discard the infested beans to prevent further spread.",pests
What strategies can farmers use to manage pest infestations?,Farmers can manage pest infestations by spraying some pests and utilizing resistant varieties where possible.,pests
"Which pests commonly infest citrus trees, and what control measures can be used against them?","Citrus trees are often affected by pests such as citrus psyllids, aphids, scales, and mites. Effective pest management involves employing integrated pest management (IPM) strategies, incorporating cultural, biological, and chemical control methods to combat these pests.",pests
at what stage does the cutworms attack cassava?,during the early stages of growth,pests
"which  social insects live in large colonies in the soil and feed on wood, plant matter, and other cellulose-containing materials.",Termites ,pests
By what means does Infectious chlorosis disseminate among banana plants?,"Infectious chlorosis disseminates among banana plants primarily through infected suckers and aphid vectors, particularly Aphis gossypii.",pests
what are the effects of armyworm infestation.,significant defoliation and reducing the plant's ability to produce healthy tubers,pests
How can you identify Sooty mould on mango trees?,"Sooty mould on mango trees can be identified by the presence of dark, superficial mycelium on the leaf surface, leading to the formation of black encrustations. This phenomenon occurs due to sugary secretions from plant hoppers such as jassids, aphids, and scale insects.",pests
how can overuse of pesticides destroy soil nutrients?,"Pesticides can kill beneficial soil microorganisms and reduce soil biodiversity, which can lead to nutrient depletion and reduced soil fertility.",pests
How can I control mango pests?,"Pests like mango hoppers and fruit flies can be controlled through integrated pest management (IPM) practices, including cultural, biological, and chemical methods.",pests
what is Spinosad pesticide.,"Spinosad is a natural pesticide derived from the fermentation of a soil bacterium. It is effective against a wide range of insect pests, including bean beetles, leafminers, and thrips. Spinosad works by disrupting the nervous system of insect pests, leading to paralysis and death.",pests
At what time should I spray armyworms in maize?,"Cultural methods should be used to control armyworms in maize, and spraying should be done when necessary according to pest population levels.",pests
What management practices can be implemented to control Canker in citrus orchards?,"Effective management of Canker in citrus orchards involves implementing several practices. These include spraying with Streptomycin sulphate at 500-1000 ppm, Phytomycin at 2500 ppm, or Copper oxychloride at 0.2% at fortnight intervals. Additionally, controlling leaf miner infestations when young flush is produced and pruning badly infected twigs before the onset of monsoon can help reduce the incidence and severity of Canker in citrus orchards.",pests
what are other pest management practices that can be used to manage mealybug infestations.,"the use of resistant varieties, maintaining proper plant nutrition and moisture levels, and minimizing weed growth around the cassava plants.",pests
Which pests affects mostly beans?,Bean weevils,pests
Can you explain how Canker survives and spreads within citrus orchards?,"Canker in citrus orchards utilizes various strategies for survival and spread. The pathogen Xanthomonas campestris pv citri can persist in infected leaves for as long as 6 months, and it spreads through wind and rain splashes. Moreover, its entry into the plant is facilitated by injuries caused by leaf miners, allowing the pathogen to infiltrate citrus trees and initiate the characteristic symptoms of Canker.",pests
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids,pests
What is the pathogen responsible for causing Canker in citrus trees?,"Canker in citrus trees is caused by the pathogen Xanthomonas campestris pv citri. This Gram-negative, non-spore-forming, aerobic bacterium is rod-shaped, forms chains and capsules, and is motile by one polar flagellum. It survives and spreads through wind and rain splashes, surviving in infected leaves for up to 6 months. Entry into the plant is facilitated by injuries caused by leaf miners.",pests
Do sapota trees benefit from cross-pollination for fruit set?,"While most sapota varieties are self-pollinating, cross-pollination by insects can enhance fruit set and yield. Nonetheless, many sapota trees are capable of fruiting without cross-pollination, making it an auxiliary rather than a mandatory factor for fruit set.",pests
which critical factors are considered in ensuring healthy plant growth and high yields.,"Proper soil preparation, irrigation, and pest management ",pests
what are some of the tips on how to best use PICS bags for storing maize grains.,"Clean and dry the grains: Before storing maize grains in PICS bags, make sure that they are thoroughly cleaned and dried to a moisture content of around 12-13%. This will help prevent mold and insect growth.

Fill the bags completely: Fill the PICS bags completely with the maize grains, leaving no empty space. This will help prevent the buildup of oxygen and moisture, which can lead to spoilage and insect growth.

Seal the bags tightly: After filling the bags with maize grains, seal them tightly using the PICS bag sealer or a heat sealer. Make sure that there are no holes or leaks in the bags, as this can allow air and moisture to enter.

Store the bags in a cool and dry place: Store the PICS bags in a cool and dry place, away from direct sunlight and sources of moisture. A well-ventilated room or a grain storage facility is ideal for storing PICS bags.

Check the bags regularly: Check the PICS bags regularly for any signs of damage, such as holes or leaks, and for any signs of insect or mold growth. If any damage or signs of infestation are found, take immediate action to prevent further damage.",pests
what is physical pest control.,involves trapping or killing pests such as insects and rodents,pests
"What are common pests that affect citrus trees, and how can I control them?","Common citrus pests include citrus psyllids, aphids, scales, and mites. Integrated pest management (IPM) practices involving cultural, biological, and chemical control methods are used to manage them.",pests
"which pest feed on the sap of the bean plant, causing stunting and distortion of the leaves",Bean aphids (Aphis fabae),pests
What is the effect of moisture on stored beans?,"Moisture is one of the key factors that affect the quality and shelf life of stored beans. Here are some of the effects of moisture on stored beans: Mold growth,Insect infestation,Sprouting,Hardening and discoloration,Nutrient loss.",pests
Do guava trees require cross-pollination for fruit set?,"While most guava varieties are self-pollinating and can produce fruit without external pollen, cross-pollination by insects can enhance fruit set and yield. Although not mandatory, introducing pollinator-attracting plants nearby can increase pollination efficiency and fruit production in guava orchards.",pests
"which pest feeds on the underside of the cassava leaves, causing them to turn yellow and dry up",Cassava green mite,pests
why is forest  pests control difficult.,because it is not easy to access the canopy and monitor pest populations,pests
How does Infectious chlorosis spread in bananas?,"Infectious chlorosis in bananas spreads through infected suckers and aphid vectors, particularly Aphis gossypii.",pests
Do we have a selective pesticide for rodents?,No.,pests
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control",pests
name one chemical pesticides that can be applied to control termides.,termiticides,pests
what happens to African armyworms first after emerging from pupation,hey allow their bodies to dry off and their wings to harden before climbing trees,pests
What are some common pests that attack apple trees and how can I control them?,"codling moths, apple maggots, and aphids. To control these pests, it's important to monitor the trees regularly and take action as soon as signs of infestation are observed",pests
Name the pest control management practices.," Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used",pests
"What are some common pests that affect citrus trees, and how can I manage them effectively?","Common citrus pests include citrus psyllids, aphids, scales, and mites. Integrated pest management (IPM) practices that combine cultural, biological, and chemical control methods can effectively manage these pests.",pests
How does Sooty mould proliferate in mango orchards?,"Sooty mould proliferates within mango orchards by developing on the leaf surface, sustained by the sugary secretions of plant hoppers like jassids, aphids, and scale insects.",pests
When should farmers spray for armyworms in maize fields?,"Farmers should spray for armyworms in maize fields when necessary based on pest population levels, prioritizing cultural methods of control.",pests
name traditional methods that can be used to control pests in beans.,mixing wood ash or ash from cooking fires,pests
Can rodent pests be effectively controlled with selective pesticides?,"No, selective pesticides for rodents are not available.",pests
why do we store beans in airtight containers.,"Store the beans in airtight containers, such as plastic or glass jars with tight-fitting lids. This will prevent moisture and pests from getting inside and damaging the beans.",pests
how can sun drying helps control pest in beans.,"Expose the beans to direct sunlight for a few days, as pests are generally sensitive to heat. Spread the beans in thin layers and turn them regularly to ensure thorough drying.",pests
"what conditions can accelerate the breakdown of active ingredients in pesticides, reducing their effectiveness","extreme temperatures, moisture, and sunlight",pests
What options are available for controlling rodent pests selectively?,Selective control methods such as traps and baits are commonly used to target rodent pests without harming other organisms.,pests
Do we have a selective pesticide for rodents?,No,pests
how many bristles do female armyworms have?,females have multiple,pests
name the negative impact of burning maize residues.,"burning maize residues can lead to soil erosion, loss of soil organic matter, and air pollution. Burning can also release greenhouse gases, such as carbon dioxide and methane, into the atmosphere, contributing to climate change. Additionally, burning can destroy beneficial soil organisms, such as earthworms and microbes, which can have negative impacts on soil health and fertility.",pests
what are Pyrethroids pesticides.,"Pyrethroids are a type of synthetic pesticide that can be effective against a range of insect pests, including bean beetles and leafhoppers. They work by attacking the nervous system of insects. Pyrethroids are available in various forms, including sprays, dusts, and granules.",pests
What is the mode of transmission for Anthracnose in bananas?,The mode of transmission for Anthracnose in bananas involves air-borne conidia and numerous insects that frequently visit banana flowers.,pests
which region in African has the armyworm,Sahara,pests
What management practices can be implemented to control Greening in citrus orchards?,"Effective management of Greening in citrus orchards involves implementing several practices. These include controlling psyllids with insecticides, using pathogen-free budwood for propagation, and applying 500 ppm tetracycline spray, requiring fortnightly application. Implementing these management practices can help reduce the incidence and spread of Greening in citrus orchards, thereby minimizing its impact on citrus production.",pests
Are mango trees self-pollinating or cross-pollinating?,"Mango trees are primarily self-pollinating, but cross-pollination by insects can be beneficial in increasing fruit set and yield. Introducing pollinator-attracting plants can encourage cross-pollination and enhance the overall productivity of mango trees.",pests
Explain the goal of the PM-KISAN Scheme launched in 2023.,"The PM-KISAN Scheme aims to provide income support to all landholding farmers across the country, enabling them to meet their agricultural needs and improve their livelihoods.",schemes
Describe the purpose behind implementing the PM-KISAN Scheme in 2023.,"The PM-KISAN Scheme aims to provide income support to all landholding farmers across the country, enabling them to meet their agricultural needs and improve their livelihoods.",schemes
What is the aim of the PM-KISAN Scheme (2023)?,"The PM-KISAN Scheme aims to provide income support to all landholding farmers across the country, enabling them to meet their agricultural needs and improve their livelihoods.",schemes
Outline the objectives of the PM-KISAN Scheme introduced in 2023.,"The PM-KISAN Scheme aims to provide income support to all landholding farmers across the country, enabling them to meet their agricultural needs and improve their livelihoods.",schemes
What are the symptoms of Sooty mould on Sapota leaves?,"Sooty mould on Sapota leaves is characterized by a fungal growth that slowly covers the entire leaf area, severely affecting the process of photosynthesis. This results in reduced translocation of food to the fruits, leading to a reduction in their size.",soil
"What type of soil is beans doing well
",well-draining loamy soil,soil
how can soil organism helps in Carbon sequestration.,"Soil organisms, such as mycorrhizal fungi, can help to sequester carbon in the soil, helping to mitigate climate change",soil
Which soil types are best suited for growing bananas?,"Sandy loam or loamy soil types with a pH range of 5.5 to 7.0 are best suited for growing bananas, providing optimal conditions for growth and fruit production.",soil
what are principal factors of soil quality.,"soil salination, pH, microorganism balance and the prevention of soil contamination",soil
which substance is applied in acidic soil to balance soil PH.,lime,soil
What is the pathogen causing downy mildew in grapes?,"The pathogen responsible for downy mildew in grapes is Plasmopara viticola. It is characterized by intercellular mycelium with spherical haustoria, thin-walled and hyaline, coenocytic mycelium. Sporangiophores arise from hyphae in the sub-stomatal spaces, with thin-walled oval or lemon-shaped sporangia producing pear-shaped biflagellate zoospores and thick-walled oospores.",soil
Which soil composition is best suited for citrus trees?,"Citrus trees prefer well-drained, slightly acidic soil with a pH between 6.0 and 7.5. Sandy loam or loamy soil types are recommended as they promote good aeration and root development essential for healthy citrus tree growth.",soil
which soil conservation techniques can be used to reduce o control soil erosion in red soil.,"contour plowing, terracing, or mulching",soil
when does the differences in appearance between the solitaria and gregaria phases become apparent.,in the third instar and remain until the last instar,soil
What are the characteristics of the pathogen causing common scab in potato plants?,"The pathogen causing common scab in potato plants is Streptomyces scabies. Aerial mycelium in pure culture consists of prostrate branched threads. Sporogenous hyphae are spiral in form. Conidia are produced by the formation of septa at intervals along the hyphae, which contract to form narrow isthmuses between the cells. Conidia are roughly cylindrical and hyaline. The conidia can germinate even at higher temperatures. Its growth is good in slightly alkaline medium and is checked at pH 5.2.",soil
what is the required soil PH for potatoes.,between 4.8 and 5.5,soil
"What strategies can I employ to promote sapotas successfully, especially in highly competitive markets?","Successfully promoting sapotas in competitive markets requires emphasizing their delicious taste, nutritional advantages, and adaptability in various recipes. Additionally, forging direct relationships with local vendors, markets, and consumers can differentiate your sapota offerings and attract discerning customers searching for premium quality and distinctive produce.",soil
As a farmer which method is good to prevent soil erosion?,Farmers can terrace their gardens or mulch their gardens to stop erosion effectively.,soil
what is the required PH for cassava growth.,pH of 5.5-6.5,soil
what is the importane of organic farming?,This approach seeks to minimize the use of synthetic chemicals and promote the health of the soil and the environment,soil
How can powdery mildew in grapes be effectively controlled?,"Powdery mildew in grapes can be effectively controlled by spraying Inorganic sulphur at 0.25%, Chinomethionate at 0.1%, or Dinocap at 0.05%.",soil
which herbicides is effective in controlling couch grass.,Glyphosate-based herbicides,soil
What visual signs indicate the presence of Sooty mould on Sapota leaves?,"Visual signs of Sooty mould on Sapota leaves include the development of a dark, soot-like fungal growth covering the leaf surface, which interferes with photosynthesis and ultimately reduces the size of the fruits.",soil
What is No-Till Farming?,"Minimizes soil disturbance, preserving its structure and reducing erosion.",soil
What is the pathogen causing downy mildew in grapes?,"The pathogen is Plasmopara viticola. Its mycelium is intercellular with spherical haustoria, coenocytic, thin-walled, and hyaline. Sporangiophores arise from hyphae in the sub-stomatal spaces, branching at right angles to the main axis and at regular intervals. Secondary branches arise from lower branches. The sporangia are thin-walled, oval or lemon-shaped. Zoospores are pear-shaped, biflagellate, and 7–9 micrometers in size. Oospores are thick-walled.",soil
What is the significance of soil temperature in the development of damping off in chilli plants?,"Soil temperature around 20°C provides an optimal environment for the growth and spread of Pythium aphanidermatum, contributing to the occurrence of damping off in chilli plants.",soil
how does S. exempta reduce the risk of SpexNPV,via density-dependent prophylaxis,soil
what chemical methods are used to control termites.,"baits, soil treatments, and wood treatments",soil
What pathogens are associated with Anthracnose in bananas?,"Anthracnose in bananas is caused by Gloeosporium gloeosporioides. Acervuli produce cylindrical conidiophores and hyaline, non-septate, oval to elliptical conidia.",soil
Can spraying chemicals affect soil?,"Yes, especially uncontrolled spraying may kill non-targeted organisms, can damage soil biomass and microorganisms",soil
What management practices can be implemented to control powdery mildew in chilli plants caused by Leveillula taurica?,Spray Wettable sulphur at 0.25% or Dinocap (Karathane) at 0.05%.,soil
How is cassava planted using single stem method.," In this method, cassava stems are planted directly into the soil at a spacing of 1-1.5 meters between rows and 0.75-1 meter between plants",soil
Which places should be avoided when collecting soil sample,"Near buildings or infrastructure: Soil near buildings, roads, driveways, or other structures may contain contaminants such as chemicals, heavy metals, or pollutants that can affect the soil composition and fertility.
",soil
